candidate_id,galaxy_name,obsid,obs_id,obs_collection,instrument_name,filter_name,filter_central_um,t_min,t_max,stage,native_flux,native_err,flux_jy,err_jy,snr,pixel_scale_arcsec,radius_pix,x_pix,y_pix,product_path,status,error
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,24581363,u3iu0901t,HST,WFPC2/PC,F658N,0.658,50473.926557175924,50473.93465902778,pre,,,,,,0.04553599999999824,4.743499648629839,658.0046079045253,657.9152464309648,/home/primary/SUPERNOVA/data/cache/mast_products/HST/u3iu0901t/hst_6713_09_wfpc2_pc_total_u3iu09_drz.fits,MEASURED,
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,207157063,hst_6713_09_wfpc2_pc_f606w_u3iu09,HST,WFPC2/PC,F606W,0.606,50473.94669606,50473.95572384,pre,,,,,,0.04553599999999824,4.743499648629839,658.0046079045253,657.9152464309648,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_6713_09_wfpc2_pc_f606w_u3iu09/hst_6713_09_wfpc2_pc_f606w_u3iu09_drz.fits,MEASURED,
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,24746136,x3iu1001r,HST,FOC/96,POL0;F342W;CLEAR3;CLEAR4,0.342,50997.43547820602,50997.44782341435,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,24746137,x3iu1002r,HST,FOC/96,POL60;F342W;CLEAR3;CLEAR4,0.342,50997.45141570602,50997.46579795139,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,24746138,x3iu1003r,HST,FOC/96,POL120;F342W;CLEAR3;CLEAR4,0.342,50997.498730555555,50997.51245304398,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,25864910,odai05saq,HST,STIS/CCD,MIRVIS,,57933.41522056713,57933.417247997684,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/odai05saq/odai05saq_spt.fits
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,25865191,odai06f0q,HST,STIS/CCD,MIRVIS,,57936.3927787037,57936.39480578704,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/odai06f0q/odai06f0q_spt.fits
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,25865603,odai07syq,HST,STIS/CCD,MIRVIS,,57941.225915393516,57941.22794282407,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/odai07syq/odai07syq_spt.fits
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,25866164,odai08k9q,HST,STIS/CCD,MIRVIS,,57946.06084614583,57946.06287357639,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/odai08k9q/odai08k9q_spt.fits
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,26667859,hst_15145_71_wfc3_uvis_f350lp_idgg71,HST,WFC3/UVIS,F350LP,0.35,58131.68602531,58131.70207843,pre,1165.3781967972322,0.3572322789063089,6.95529659632714e-05,2.132060184756958e-08,3262.242147784398,0.03962000086903494,5.3999999999999995,756.6419112448318,756.7978001764798,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_71_wfc3_uvis_f350lp_idgg71/hst_15145_71_wfc3_uvis_f350lp_idgg71_drc.fits,MEASURED,
