cluster_id,galaxy_name,pair_id,pre_obs_id,post_obs_id,pre_filter,post_filter,pre_instrument,post_instrument,band_group,baseline_days,pre_mjd,post_mjd,coverage_status,x_pix,y_pix,edge_distance_px,registration_residual_px,registration_n_matches,pair_stable_fraction,pair_extreme_fade_fraction,pair_failure_reason,diff_flux,diff_err,diff_sigma,flux_pre,flux_post,err_pre,err_post,post_to_pre_ratio
MESSIER_061_branch_0001,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00132832175586,,,MASKED_OR_EDGE,1334.7616183790442,961.98783715943,0.0,0.32514875348627187,65.0,0.9727272727272728,0.0,,,,,,,,,
MESSIER_061_branch_0001,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1130w::jw03295-o007_t004_miri_f1130w,jw02107-o013_t013_miri_f1130w,jw03295-o007_t004_miri_f1130w,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.0012321064787,,,MASKED_OR_EDGE,1334.4714151043659,961.9592379694833,0.0,0.3197326286004821,39.0,0.9846153846153847,0.015384615384615385,,,,,,,,,
MESSIER_061_branch_0001,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.01706717592606,,,MASKED_OR_EDGE,1334.6343348358728,961.6493015440528,0.0,0.36845761979898983,30.0,0.9090909090909091,0.0,,,,,,,,,
MESSIER_061_branch_0001,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f770w::jw03295-o007_t004_miri_f770w,jw02107-o013_t013_miri_f770w,jw03295-o007_t004_miri_f770w,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00084677083214,,,MASKED_OR_EDGE,1334.6331340188808,961.3902835709404,0.0,0.19823642794011292,160.0,0.9656652360515021,0.008583690987124463,,,,,,,,,
MESSIER_061_branch_0001,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w,jw02107-o031_t013_nircam_clear-f200w,jw02107-o044_t020_nircam_clear-f200w,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,3200.013425726877,3954.017108271384,80.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,,2.5087384545577818,2.6228583322735917,0.9564902624317927,0.6161038010165889,0.13574262219875877,5.047000149763378,4.236747435862162,0.2203242732389892
MESSIER_061_branch_0001,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f300m::jw02107-o044_t020_nircam_clear-f300m,jw02107-o031_t013_nircam_clear-f300m,jw02107-o044_t020_nircam_clear-f300m,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,1518.035371740368,1911.9059134303511,17.0,0.16924285693655416,189.0,0.8714285714285714,0.0035714285714285713,,9.050200216408056,1.2381337091645868,7.309549969780365,11.67205736692067,2.676939627296722,2.0559678147289477,2.6244229705935034,0.22934599643789738
MESSIER_061_branch_0001,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f335m::jw02107-o044_t020_nircam_clear-f335m,jw02107-o031_t013_nircam_clear-f335m,jw02107-o044_t020_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641054976819,,,MEASURED,1518.145566658635,1912.2102577052347,18.0,0.19564124561384397,191.0,0.8958333333333334,0.0,,10.508906953594467,1.1475242840251954,9.157895044043991,15.069162295217659,3.303073120598677,1.941249084820855,2.591848283549973,0.21919420973035367
MESSIER_061_branch_0001,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f360m::jw02107-o044_t020_nircam_clear-f360m,jw02107-o031_t013_nircam_clear-f360m,jw02107-o044_t020_nircam_clear-f360m,F360M,F360M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641047685218,,,MEASURED,1518.180748669111,1912.1220642275105,18.0,0.09934189507652899,176.0,0.868,0.004,,10.561233142401731,1.1550958745318707,9.143165840395643,16.86938234634977,5.0727814032220415,2.155944437162242,2.735869321936701,0.30070937388645413
MESSIER_061_branch_0002,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00132832175586,,,MASKED_OR_EDGE,1372.6584744072497,956.6011422254716,0.0,0.32514875348627187,65.0,0.9727272727272728,0.0,,,,,,,,,
MESSIER_061_branch_0002,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1130w::jw03295-o007_t004_miri_f1130w,jw02107-o013_t013_miri_f1130w,jw03295-o007_t004_miri_f1130w,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.0012321064787,,,MASKED_OR_EDGE,1372.3682721890054,956.5725485566339,0.0,0.3197326286004821,39.0,0.9846153846153847,0.015384615384615385,,,,,,,,,
MESSIER_061_branch_0002,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.01706717592606,,,MASKED_OR_EDGE,1372.531192485869,956.2626135009998,0.0,0.36845761979898983,30.0,0.9090909090909091,0.0,,,,,,,,,
MESSIER_061_branch_0002,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f770w::jw03295-o007_t004_miri_f770w,jw02107-o013_t013_miri_f770w,jw03295-o007_t004_miri_f770w,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00084677083214,,,MASKED_OR_EDGE,1372.5300079843691,956.003716605078,0.0,0.19823642794011292,160.0,0.9656652360515021,0.008583690987124463,,,,,,,,,
MESSIER_061_branch_0002,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w,jw02107-o031_t013_nircam_clear-f200w,jw02107-o044_t020_nircam_clear-f200w,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,3336.9536938185997,3936.28069853334,61.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,,26.670369734992203,1.3537215745867652,19.70151782735202,38.62959109414869,13.140538107362506,6.483512180914488,5.619748668767474,0.340167672894496
MESSIER_061_branch_0002,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f300m::jw02107-o044_t020_nircam_clear-f300m,jw02107-o031_t013_nircam_clear-f300m,jw02107-o044_t020_nircam_clear-f300m,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,1584.9146471895565,1903.6241912953865,9.0,0.16924285693655416,189.0,0.8714285714285714,0.0035714285714285713,,13.607735044783727,0.797261775152248,17.068089138207014,20.12451862876808,6.491914689884341,2.048651646394481,1.9587030154691434,0.3225873279077654
MESSIER_061_branch_0002,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f335m::jw02107-o044_t020_nircam_clear-f335m,jw02107-o031_t013_nircam_clear-f335m,jw02107-o044_t020_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641054976819,,,MEASURED,1585.0232131830521,1903.928773410748,9.0,0.19564124561384397,191.0,0.8958333333333334,0.0,,14.339158481311015,0.6533068870295773,21.948580010395382,25.50790979346783,10.405757006803116,1.9824182939509323,1.8327463336247756,0.40794236341026513
MESSIER_061_branch_0002,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f360m::jw02107-o044_t020_nircam_clear-f360m,jw02107-o031_t013_nircam_clear-f360m,jw02107-o044_t020_nircam_clear-f360m,F360M,F360M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641047685218,,,MEASURED,1585.055601431864,1903.8407309826946,9.0,0.09934189507652899,176.0,0.868,0.004,,14.257966870440455,0.6422013282780189,22.201708782931636,24.741779252230323,11.057878342185317,1.8493442819946238,1.611379896692456,0.4469314122260838
MESSIER_061_branch_0003,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00132832175586,,,MASKED_OR_EDGE,883.6488358472068,1007.3184356079189,0.0,0.32514875348627187,65.0,0.9727272727272728,0.0,,,,,,,,,
MESSIER_061_branch_0003,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1130w::jw03295-o007_t004_miri_f1130w,jw02107-o013_t013_miri_f1130w,jw03295-o007_t004_miri_f1130w,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.0012321064787,,,MASKED_OR_EDGE,883.3586227372804,1007.289770565155,0.0,0.3197326286004821,39.0,0.9846153846153847,0.015384615384615385,,,,,,,,,
MESSIER_061_branch_0003,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.01706717592606,,,MASKED_OR_EDGE,883.5215364521889,1006.9798176536161,0.0,0.36845761979898983,30.0,0.9090909090909091,0.0,,,,,,,,,
MESSIER_061_branch_0003,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f770w::jw03295-o007_t004_miri_f770w,jw02107-o013_t013_miri_f770w,jw03295-o007_t004_miri_f770w,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00084677083214,,,MASKED_OR_EDGE,883.5202013999814,1006.7193588480371,1.0,0.19823642794011292,160.0,0.9656652360515021,0.008583690987124463,,,,,,,,,
MESSIER_061_branch_0003,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w,jw02107-o031_t013_nircam_clear-f200w,jw02107-o044_t020_nircam_clear-f200w,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,1570.7576304980992,4097.364141530483,219.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,,2.922359117363433,2.261199193726889,1.292393489910469,15.349002654003513,12.143326436866982,4.683112318182071,3.680127192384208,0.791147588582872
MESSIER_061_branch_0003,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f300m::jw02107-o044_t020_nircam_clear-f300m,jw02107-o031_t013_nircam_clear-f300m,jw02107-o044_t020_nircam_clear-f300m,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,722.5197193128928,1977.411831348034,85.0,0.16924285693655416,189.0,0.8714285714285714,0.0035714285714285713,,6.971449641630813,0.6819394726745772,10.222974209556574,11.516058903249892,3.4709451526420336,1.5764315783449614,1.1433355018055296,0.30140043410706374
MESSIER_061_branch_0003,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f335m::jw02107-o044_t020_nircam_clear-f335m,jw02107-o031_t013_nircam_clear-f335m,jw02107-o044_t020_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641054976819,,,MEASURED,722.6493075272467,1977.714152579278,86.0,0.19564124561384397,191.0,0.8958333333333334,0.0,,5.765566416200577,0.7008853173903021,8.226119556432232,12.444828238238415,5.528070447612871,1.6308333066640306,1.1894100816647994,0.44420624710810613
MESSIER_061_branch_0003,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f360m::jw02107-o044_t020_nircam_clear-f360m,jw02107-o031_t013_nircam_clear-f360m,jw02107-o044_t020_nircam_clear-f360m,F360M,F360M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641047685218,,,MEASURED,722.7176260226424,1977.6255293257052,86.0,0.09934189507652899,176.0,0.868,0.004,,4.824324798294301,0.7482684618075651,6.447318101100176,12.581902639679303,7.660091066835131,1.5871916816526253,1.1527844694617666,0.6088181800642496
MESSIER_061_branch_0004,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00132832175586,,,MASKED_OR_EDGE,608.004029452756,973.3018910694796,0.0,0.32514875348627187,65.0,0.9727272727272728,0.0,,,,,,,,,
MESSIER_061_branch_0004,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1130w::jw03295-o007_t004_miri_f1130w,jw02107-o013_t013_miri_f1130w,jw03295-o007_t004_miri_f1130w,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.0012321064787,,,MASKED_OR_EDGE,607.7138193683976,973.2731853506841,0.0,0.3197326286004821,39.0,0.9846153846153847,0.015384615384615385,,,,,,,,,
MESSIER_061_branch_0004,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.01706717592606,,,MASKED_OR_EDGE,607.8767317313864,972.9632217759238,0.0,0.36845761979898983,30.0,0.9090909090909091,0.0,,,,,,,,,
MESSIER_061_branch_0004,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f770w::jw03295-o007_t004_miri_f770w,jw02107-o013_t013_miri_f770w,jw03295-o007_t004_miri_f770w,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00084677083214,,,MASKED_OR_EDGE,607.8755116275468,972.7018840026443,0.0,0.19823642794011292,160.0,0.9656652360515021,0.008583690987124463,,,,,,,,,
MESSIER_061_branch_0004,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w,jw02107-o031_t013_nircam_clear-f200w,jw02107-o044_t020_nircam_clear-f200w,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,577.987478432919,3962.33880296241,78.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,,22.745866162944086,0.8713350561396759,26.104614984408364,21.342321038486794,-3.2138666041396178,3.5678317229361265,3.2093601284924276,-0.15058655515227345
MESSIER_061_branch_0004,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f300m::jw02107-o044_t020_nircam_clear-f300m,jw02107-o031_t013_nircam_clear-f300m,jw02107-o044_t020_nircam_clear-f300m,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,238.38807503336875,1908.803031306525,17.0,0.16924285693655416,189.0,0.8714285714285714,0.0035714285714285713,,6.340794009000516,0.47976913890930356,13.216344059594027,7.220045492348401,1.4138352730791723,1.5134486603845076,1.3457244088588365,0.19582082613987886
MESSIER_061_branch_0004,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f335m::jw02107-o044_t020_nircam_clear-f335m,jw02107-o031_t013_nircam_clear-f335m,jw02107-o044_t020_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641054976819,,,MEASURED,238.52952325473382,1909.1067705231949,17.0,0.19564124561384397,191.0,0.8958333333333334,0.0,,6.3964207763925405,0.4099361470712406,15.603456348241817,8.978117387087458,2.7003141301151388,1.4502631418906156,1.3561735764450424,0.3007661866839472
MESSIER_061_branch_0004,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f360m::jw02107-o044_t020_nircam_clear-f360m,jw02107-o031_t013_nircam_clear-f360m,jw02107-o044_t020_nircam_clear-f360m,F360M,F360M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641047685218,,,MEASURED,238.61769645141203,1909.0223784691077,18.0,0.09934189507652899,176.0,0.868,0.004,,4.478509865746927,0.504834927181775,8.87123616970812,8.912213294126378,3.7541089451629013,1.336996958113948,1.1669831667955268,0.4212319455636299
MESSIER_061_branch_0005,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00132832175586,,,MASKED_OR_EDGE,679.0432248781159,1051.5800449212225,0.0,0.32514875348627187,65.0,0.9727272727272728,0.0,,,,,,,,,
MESSIER_061_branch_0005,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1130w::jw03295-o007_t004_miri_f1130w,jw02107-o013_t013_miri_f1130w,jw03295-o007_t004_miri_f1130w,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.0012321064787,,,MASKED_OR_EDGE,678.7530038191825,1051.5513501803807,0.0,0.3197326286004821,39.0,0.9846153846153847,0.015384615384615385,,,,,,,,,
MESSIER_061_branch_0005,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.01706717592606,,,MASKED_OR_EDGE,678.9159139242755,1051.2413900165323,0.0,0.36845761979898983,30.0,0.9090909090909091,0.0,,,,,,,,,
MESSIER_061_branch_0005,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f770w::jw03295-o007_t004_miri_f770w,jw02107-o013_t013_miri_f770w,jw03295-o007_t004_miri_f770w,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00084677083214,,,MASKED_OR_EDGE,678.9144423423724,1050.9802771618197,0.0,0.19823642794011292,160.0,0.9656652360515021,0.008583690987124463,,,,,,,,,
MESSIER_061_branch_0005,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w,jw02107-o031_t013_nircam_clear-f200w,jw02107-o044_t020_nircam_clear-f200w,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,830.7367344832537,4247.8752991564525,255.09606033806168,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,,23.75372820183847,0.8888581148625141,26.72386942826373,44.810472869945094,19.917609170395473,3.2174283663868697,2.7123852619531785,0.4444855832743163
MESSIER_061_branch_0005,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f300m::jw02107-o044_t020_nircam_clear-f300m,jw02107-o031_t013_nircam_clear-f300m,jw02107-o044_t020_nircam_clear-f300m,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,360.9568623673408,2048.8436884406196,111.0,0.16924285693655416,189.0,0.8714285714285714,0.0035714285714285713,,6.380884122527453,0.5469379931187776,11.666558554731319,4.729294554073022,-2.161875597930184,2.8593106597060682,2.6666098014858024,-0.45712432863127683
MESSIER_061_branch_0005,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f335m::jw02107-o044_t020_nircam_clear-f335m,jw02107-o031_t013_nircam_clear-f335m,jw02107-o044_t020_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641054976819,,,MEASURED,361.09524269078406,2049.144072791094,111.0,0.19564124561384397,191.0,0.8958333333333334,0.0,,5.994395294637146,0.45418421626492833,13.198158544418856,4.54643377502174,-1.1705265184285487,3.6956083456574684,3.7810864196443608,-0.25746036923697446
MESSIER_061_branch_0005,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f360m::jw02107-o044_t020_nircam_clear-f360m,jw02107-o031_t013_nircam_clear-f360m,jw02107-o044_t020_nircam_clear-f360m,F360M,F360M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641047685218,,,MEASURED,361.1787413182102,2049.053528769001,111.0,0.09934189507652899,176.0,0.868,0.004,,6.666658571109204,0.5472912094475461,12.181190664178128,7.211454787750011,-0.4135742644556508,2.878776480851264,2.9614949084537847,-0.05734963008548333
MESSIER_061_branch_0006,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00132832175586,,,MASKED_OR_EDGE,1230.3952636930358,996.842842979315,0.0,0.32514875348627187,65.0,0.9727272727272728,0.0,,,,,,,,,
MESSIER_061_branch_0006,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1130w::jw03295-o007_t004_miri_f1130w,jw02107-o013_t013_miri_f1130w,jw03295-o007_t004_miri_f1130w,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.0012321064787,,,MASKED_OR_EDGE,1230.105054570641,996.8142287262543,0.0,0.3197326286004821,39.0,0.9846153846153847,0.015384615384615385,,,,,,,,,
MESSIER_061_branch_0006,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.01706717592606,,,MASKED_OR_EDGE,1230.267971993937,996.5042887199221,0.0,0.36845761979898983,30.0,0.9090909090909091,0.0,,,,,,,,,
MESSIER_061_branch_0006,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f770w::jw03295-o007_t004_miri_f770w,jw02107-o013_t013_miri_f770w,jw03295-o007_t004_miri_f770w,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00084677083214,,,MASKED_OR_EDGE,1230.2666623481507,996.244936841694,0.0,0.19823642794011292,160.0,0.9656652360515021,0.008583690987124463,,,,,,,,,
MESSIER_061_branch_0006,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w,jw02107-o031_t013_nircam_clear-f200w,jw02107-o044_t020_nircam_clear-f200w,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,2821.9906516534047,4075.078473929796,203.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,,26.42876645732705,1.5924540251182608,16.596250843326146,18.59439051429561,-7.303894510352421,6.117697187175985,5.825157894019212,-0.3928009635345182
MESSIER_061_branch_0006,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f300m::jw02107-o044_t020_nircam_clear-f300m,jw02107-o031_t013_nircam_clear-f300m,jw02107-o044_t020_nircam_clear-f300m,F300M,F300M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,1333.2185423260817,1969.9544998537685,76.0,0.16924285693655416,189.0,0.8714285714285714,0.0035714285714285713,,6.129518514566163,0.7998099050413414,7.66371918618504,7.214568649640512,0.8520360046630557,2.133844016901692,1.7630975203842325,0.1180993689353155
MESSIER_061_branch_0006,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f335m::jw02107-o044_t020_nircam_clear-f335m,jw02107-o031_t013_nircam_clear-f335m,jw02107-o044_t020_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641054976819,,,MEASURED,1333.3332199722659,1970.2573281319067,76.0,0.19564124561384397,191.0,0.8958333333333334,0.0,,9.127894020314754,0.784091767359506,11.641359341207846,9.136428291396278,0.08269358964965079,2.2142902591281413,1.9664124950448107,0.009050975612376104
MESSIER_061_branch_0006,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f360m::jw02107-o044_t020_nircam_clear-f360m,jw02107-o031_t013_nircam_clear-f360m,jw02107-o044_t020_nircam_clear-f360m,F360M,F360M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.9641047685218,,,MEASURED,1333.3762232957915,1970.1672608813892,76.0,0.09934189507652899,176.0,0.868,0.004,,8.61717115373868,0.6672886761545448,12.913708057205115,10.97562550820144,2.3008010510860544,2.1522605442267317,2.0600574394049134,0.2096282393533563
MESSIER_061_branch_0007,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00132832175586,,,MEASURED,828.8278409365387,1049.5127670728828,21.840329667841555,0.32514875348627187,65.0,0.9727272727272728,0.0,,7.845670566640461,1.66683862735034,4.706916697216329,83.16475791085173,74.04301641843293,10.506293823159114,10.786055088972107,0.8903172242478378
MESSIER_061_branch_0007,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f1130w::jw03295-o007_t004_miri_f1130w,jw02107-o013_t013_miri_f1130w,jw03295-o007_t004_miri_f1130w,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.0012321064787,,,MEASURED,828.5376212473003,1049.4840942884741,22.090722034374522,0.3197326286004821,39.0,0.9846153846153847,0.015384615384615385,,-1.585497640772445,3.7914768044547755,-0.4181741634050281,295.02201755485373,299.0106461504965,38.3016709148,38.664168362261556,1.0135197658422261
MESSIER_061_branch_0007,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,F2100W,F2100W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.01706717592606,,,MEASURED,828.7005328572392,1049.1741397231795,20.8806130178211,0.36845761979898983,30.0,0.9090909090909091,0.0,,11.41895585092233,3.103254919114673,3.679670587352212,106.94809307980782,91.34700184204215,17.219211203229932,16.786417340698932,0.8541246431937437
MESSIER_061_branch_0007,MESSIER 061,MESSIER 061::jw02107-o013_t013_miri_f770w::jw03295-o007_t004_miri_f770w,jw02107-o013_t013_miri_f770w,jw03295-o007_t004_miri_f770w,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,MIR,470.00084677083214,,,MEASURED,828.699064405784,1048.913504972694,22.02271554554524,0.19823642794011292,160.0,0.9656652360515021,0.008583690987124463,,9.007539216406084,2.7728820138873624,3.248439411159158,232.24066300205806,229.58410370184953,27.87764568228767,28.645437094395987,0.9885611793134392
MESSIER_061_branch_0007,MESSIER 061,MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w,jw02107-o031_t013_nircam_clear-f200w,jw02107-o044_t020_nircam_clear-f200w,F200W,F200W,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,370.96410550925793,,,MEASURED,1371.1240322031072,4247.114455336901,247.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,,30.828181366008405,1.680614444905645,18.343399022575458,36.991626184918076,6.060267019891217,4.822152643177234,5.401723100591107,0.16382807799788104
